Идентификатор пользователя;Фамилия;Имя;Отчество;Логин;Идентификатор роли
1;Иванов;Иван;Сергеевич;isivanov;3
2;Петров;Пётр;Алексеевич;papetrov;2
3;Сидорова;Анна;Дмитриевна;asidorova;1
4;Кузнецова;Екатерина;Андреевна;ekuznetsova;2
5;Смирнов;Дмитрий;Владимирович;dsmirnov;1
6;Попов;Алексей;Николаевич;apopov;3
7;Васильева;Ольга;Игоревна;ovasileva;1
8;Соколов;Павел;Викторович;psokolov;2
9;Михайлова;Татьяна;Юрьевна;tmikhailova;1
10;Новикова;Наталья;Сергеевна;nnovikova;2
11;Фёдоров;Андрей;Максимович;afedorov;3
12;Морозов;Сергей;Павлович;smorozov;1
13;Волкова;Юлия;Александровна;jvolkova;2
14;Алексеев;Артём;Евгеньевич;aalekseev;1
15;Лебедева;Ирина;Владимировна;ilebedeva;1
16;Егоров;Никита;Денисович;negorov;2
17;Павлова;Елена;Петровна;epavlova;1
18;Козлов;Роман;Олегович;rkozlov;3
19;Степанова;Виктория;Романовна;vstepanova;2
20;Николаев;Владимир;Иванович;vnikolaev;1
